timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-12-04T03:41:29.075525+00:00,42.35,42.352261,200,200,200,600,0,0,7.9301,5.4522,22.3049,47.1829,14.1669,0.017748,0.07083447091526,3.0
2025-12-04T03:41:59.076557+00:00,72.35,72.353293,200,200,200,1200,0,0,5.7912,4.2059,11.7655,44.6805,16.5853,0.020782,0.08292642603011863,6.0
2025-12-04T03:42:29.077880+00:00,102.35,102.354616,200,200,200,1800,0,0,5.0959,3.8679,10.7272,31.8772,17.5859,0.022035,0.08792959567158164,9.0
2025-12-04T03:42:59.078680+00:00,132.36,132.355416,200,200,200,2400,0,0,4.6796,3.5977,9.8448,24.7174,18.133,0.022765,0.09066497135258901,12.0
2025-12-04T03:43:29.080135+00:00,162.36,162.356871,200,200,200,3000,0,0,4.633,3.6782,9.5491,22.298,18.4778,0.023222,0.09238906803026525,15.0
2025-12-04T03:43:59.077810+00:00,192.35,192.354546,200,200,200,3600,0,0,5.2211,4.0494,12.3301,19.4418,18.7154,0.023534,0.09357720092562824,18.0
