timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-12-05T20:31:53.730828+00:00,30.03,30.031405,200,200,200,600,0,0,18.6899,12.4758,54.1678,56.3395,19.9791,0.025048,0.09989542613807113,3.0
2025-12-05T20:32:23.732598+00:00,60.03,60.033175,200,200,200,1200,0,0,16.633,12.1253,50.4557,56.0594,19.9889,0.025063,0.09994473888812311,6.0
2025-12-05T20:32:53.733908+00:00,90.03,90.034485,200,200,200,1800,0,0,20.4557,15.8059,52.1722,57.2769,19.9923,0.025074,0.0999616980093794,9.0
2025-12-05T20:33:23.734495+00:00,120.04,120.035072,200,200,200,2400,0,0,20.9962,16.5268,52.7169,67.6591,19.9942,0.025109,0.09997078187281798,12.0
2025-12-05T20:33:53.735733+00:00,150.04,150.03631,200,200,200,3000,0,0,22.8527,16.5883,60.2769,80.6043,19.9952,0.025129,0.09997579919154237,15.0
2025-12-05T20:34:23.737068+00:00,180.04,180.037645,200,200,200,3600,0,0,22.4887,16.5296,64.0671,83.1474,19.9958,0.025142,0.09997909048410403,18.0
2025-12-05T20:34:53.738394+00:00,210.04,210.038971,200,200,200,4200,0,0,21.3064,15.6074,56.7725,82.6345,19.9963,0.025155,0.09998144582416564,21.0
2025-12-05T20:35:23.732032+00:00,240.03,240.032609,200,200,200,4800,0,0,20.2609,14.9717,55.6787,82.1553,19.9973,0.025165,0.0999864147625042,24.0
