timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops
2025-12-03T23:10:01.910587,-33.0,-82.0,13.9,,347639,59046,,1
2025-12-03T23:10:04.841737,-33.0,-82.0,13.9,,347639,59046,,1
2025-12-03T23:10:08.367026,-33.0,-82.0,13.9,,347639,59046,,1
2025-12-03T23:10:11.359727,-33.0,-82.0,13.9,,347725,59046,,1
2025-12-03T23:10:14.335116,-32.0,-82.0,12.3,,347897,59046,,1
2025-12-03T23:10:17.198239,-32.0,-82.0,12.3,,347897,59046,,1
2025-12-03T23:10:20.535947,-32.0,-82.0,12.3,,347897,59046,,1
2025-12-03T23:10:23.596065,-32.0,-82.0,12.3,,347897,59046,,1
2025-12-03T23:10:26.583649,-32.0,-80.0,12.3,,347897,59046,,1
2025-12-03T23:10:29.669566,-32.0,-84.0,12.3,,347897,59046,,1
2025-12-03T23:10:33.128993,-32.0,-84.0,12.3,,347897,59046,,1
2025-12-03T23:10:36.223855,-32.0,-82.0,12.3,,347897,59046,,1
2025-12-03T23:10:39.212842,-32.0,-82.0,12.3,,347897,59046,,1
2025-12-03T23:10:42.155038,-33.0,-82.0,13.9,,348155,59046,,1
2025-12-03T23:10:45.080397,-32.0,-80.0,13.9,,348155,59046,,1
2025-12-03T23:10:48.215057,-32.0,-80.0,13.9,,348155,59046,,1
2025-12-03T23:10:51.171822,-32.0,-82.0,13.9,,348155,59046,,1
2025-12-03T23:10:54.041535,-32.0,-80.0,13.9,,348155,59046,,1
2025-12-03T23:10:57.053448,-33.0,-80.0,13.9,,348155,59136,,1
2025-12-03T23:11:00.680712,-33.0,-84.0,13.9,,348155,59136,,1
2025-12-03T23:11:03.622740,-32.0,-80.0,13.9,,348241,59178,,1
2025-12-03T23:11:06.544866,-32.0,-84.0,13.9,,348241,59178,,1
2025-12-03T23:11:09.482448,-32.0,-82.0,13.9,,348413,59178,,1
2025-12-03T23:11:13.074309,-33.0,-82.0,13.9,,348499,59178,,1
2025-12-03T23:11:16.079059,-32.0,-84.0,13.9,,348623,59260,,1
2025-12-03T23:11:18.944461,-32.0,-82.0,13.9,,348795,59302,,1
2025-12-03T23:11:21.923392,-32.0,-82.0,13.9,,348967,59302,,1
2025-12-03T23:11:25.678634,-32.0,-82.0,13.9,,348967,59302,,1
2025-12-03T23:11:28.643296,-32.0,-82.0,13.9,,348967,59302,,1
2025-12-03T23:11:31.639870,-32.0,-82.0,13.9,,348967,59302,,1
2025-12-03T23:11:34.612670,-32.0,-82.0,13.9,,348967,59302,,1
2025-12-03T23:11:38.167386,-32.0,-82.0,13.9,,348967,59302,,1
2025-12-03T23:11:41.241410,-32.0,-82.0,13.9,,348967,59392,,1
2025-12-03T23:11:44.224554,-32.0,-82.0,13.9,,349053,59434,,1
2025-12-03T23:11:47.192793,-32.0,-82.0,13.9,,349053,59434,,1
2025-12-03T23:11:50.535082,-34.0,-80.0,15.4,,349311,59434,,1
2025-12-03T23:11:53.429634,-32.0,-82.0,15.4,,349311,59434,,1
2025-12-03T23:11:56.375070,-32.0,-82.0,15.4,,349435,59516,,1
2025-12-03T23:11:59.322339,-32.0,-80.0,15.4,,349435,59516,,1
2025-12-03T23:12:02.205892,-32.0,-82.0,15.4,,349435,59516,,1
2025-12-03T23:12:05.521361,-32.0,-80.0,15.4,,349435,59516,,1
2025-12-03T23:12:08.491342,-32.0,-84.0,15.4,,349435,59516,,1
2025-12-03T23:12:11.450549,-32.0,-84.0,15.4,,349435,59516,,1
2025-12-03T23:12:14.422136,-32.0,-82.0,15.4,,349435,59516,,1
2025-12-03T23:12:18.085223,-32.0,-84.0,15.4,,349435,59516,,1
2025-12-03T23:12:20.956441,-32.0,-82.0,15.4,,349435,59516,,1
2025-12-03T23:12:23.822485,-32.0,-80.0,15.4,,349607,59516,,1
2025-12-03T23:12:26.920609,-32.0,-82.0,15.4,,349693,59516,,1
2025-12-03T23:12:30.382971,-32.0,-80.0,15.4,,349693,59516,,1
2025-12-03T23:12:33.468263,-32.0,-82.0,15.4,,349693,59516,,1
2025-12-03T23:12:36.459085,-32.0,-82.0,15.4,,349693,59516,,1
2025-12-03T23:12:39.456160,-32.0,-82.0,15.4,,349693,59516,,1
2025-12-03T23:12:43.084564,-32.0,-82.0,15.4,,349693,59516,,1
2025-12-03T23:12:45.949915,-32.0,-82.0,15.4,,349693,59516,,1
2025-12-03T23:12:48.819697,-32.0,-84.0,15.4,,349693,59516,,1
2025-12-03T23:12:51.793667,-33.0,-82.0,15.4,,349865,59516,,1
2025-12-03T23:12:55.474382,-32.0,-82.0,15.4,,350123,59516,,1
2025-12-03T23:12:58.456443,-34.0,-82.0,12.3,,350209,59516,,1
2025-12-03T23:13:01.429749,-34.0,-84.0,12.3,,350209,59516,,1
2025-12-03T23:13:04.429669,-34.0,-82.0,12.3,,350209,59516,,1
2025-12-03T23:13:07.775701,-34.0,-82.0,12.3,,350209,59516,,1
2025-12-03T23:13:10.921530,-34.0,-84.0,12.3,,350209,59516,,1
2025-12-03T23:13:13.855908,-34.0,-82.0,12.3,,350209,59516,,1
2025-12-03T23:13:16.910265,-34.0,-80.0,12.3,,350209,59516,,1
2025-12-03T23:13:20.356457,-32.0,-84.0,12.3,,350295,59516,,1
2025-12-03T23:13:23.553953,-32.0,-80.0,13.9,,350467,59516,,1
2025-12-03T23:13:26.533946,-32.0,-82.0,13.9,,350467,59516,,1
2025-12-03T23:13:29.501634,-32.0,-82.0,13.9,,350467,59516,,1
2025-12-03T23:13:32.961696,-32.0,-84.0,15.4,,350725,59516,,1
2025-12-03T23:13:36.271281,-32.0,-82.0,15.4,,350725,59516,,1
