timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops
2025-12-03T23:28:31.290495,-32.0,-82.0,15.4,,360953,60746,,1
2025-12-03T23:28:34.869786,-32.0,-80.0,15.4,,360953,60760,,1
2025-12-03T23:28:37.887059,-32.0,-82.0,15.4,,360953,60760,,1
2025-12-03T23:28:40.899562,-32.0,-82.0,15.4,,361125,60760,,1
2025-12-03T23:28:43.879762,-33.0,-82.0,15.4,,361211,60760,,1
2025-12-03T23:28:47.503687,-33.0,-82.0,15.4,,361211,60760,,1
2025-12-03T23:28:50.587621,-34.0,-82.0,15.4,,361383,60760,,1
2025-12-03T23:28:53.561568,-32.0,-80.0,15.4,,361469,60760,,1
2025-12-03T23:28:56.527693,-32.0,-80.0,15.4,,361469,60760,,1
2025-12-03T23:29:00.207771,-32.0,-80.0,15.4,,361469,60760,,1
2025-12-03T23:29:03.226272,-32.0,-82.0,15.4,,361469,60760,,1
2025-12-03T23:29:06.094255,-32.0,-82.0,15.4,,361469,60760,,1
2025-12-03T23:29:09.041500,-32.0,-82.0,15.4,,361469,60760,,1
2025-12-03T23:29:12.575753,-32.0,-80.0,15.4,,361469,60760,,1
2025-12-03T23:29:15.497900,-32.0,-82.0,15.4,,361469,60850,,1
2025-12-03T23:29:18.439195,-33.0,-68.0,15.4,,361555,60850,,1
2025-12-03T23:29:21.408079,-33.0,-84.0,15.4,,361813,60892,,1
2025-12-03T23:29:24.795711,-33.0,-82.0,15.4,,361813,60892,,1
2025-12-03T23:29:27.754774,-33.0,-80.0,15.4,,361813,60892,,1
2025-12-03T23:29:30.744250,-33.0,-82.0,15.4,,361813,60892,,1
2025-12-03T23:29:33.703540,-32.0,-82.0,15.4,,362127,61056,,1
2025-12-03T23:29:36.628763,-32.0,-80.0,15.4,,362213,61098,,1
2025-12-03T23:29:39.747871,-33.0,-80.0,12.5,,362213,61098,,1
2025-12-03T23:29:42.710238,-33.0,-82.0,12.5,,362213,61098,,1
2025-12-03T23:29:45.677229,-32.0,-80.0,12.5,,362213,61188,,1
2025-12-03T23:29:48.631263,-32.0,-80.0,12.5,,362213,61188,,1
2025-12-03T23:29:52.331385,-32.0,-84.0,12.5,,362299,61188,,1
2025-12-03T23:29:55.340584,-32.0,-80.0,12.5,,362471,61188,,1
2025-12-03T23:29:58.183095,-32.0,-82.0,12.5,,362471,61188,,1
2025-12-03T23:30:01.112678,-32.0,-82.0,12.5,,362471,61188,,1
2025-12-03T23:30:04.695709,-32.0,-82.0,13.9,,362785,61352,,1
2025-12-03T23:30:07.585820,-32.0,-82.0,13.9,,362785,61352,,1
2025-12-03T23:30:10.738911,-32.0,-82.0,13.9,,362785,61352,,1
2025-12-03T23:30:13.651963,-32.0,-80.0,13.9,,362785,61352,,1
2025-12-03T23:30:17.296492,-32.0,-80.0,13.9,,362785,61352,,1
2025-12-03T23:30:20.307212,-32.0,-84.0,13.9,,362785,61352,,1
2025-12-03T23:30:23.290865,-33.0,-82.0,15.4,,362957,61352,,1
2025-12-03T23:30:26.232024,-32.0,-80.0,15.4,,363043,61352,,1
2025-12-03T23:30:29.652705,-32.0,-84.0,15.4,,363043,61352,,1
2025-12-03T23:30:32.576298,-32.0,-80.0,15.4,,363043,61352,,1
2025-12-03T23:30:35.487402,-32.0,-84.0,15.4,,363043,61352,,1
2025-12-03T23:30:38.346895,-32.0,-68.0,15.4,,363043,61352,,1
2025-12-03T23:30:41.632050,-32.0,-80.0,15.4,,363043,61352,,1
2025-12-03T23:30:44.777031,-32.0,-80.0,15.4,,363043,61352,,1
2025-12-03T23:30:47.743123,-32.0,-80.0,15.4,,363043,61352,,1
2025-12-03T23:30:50.668165,-32.0,-82.0,15.4,,363129,61352,,1
2025-12-03T23:30:53.590757,-32.0,-82.0,15.4,,363301,61352,,1
2025-12-03T23:30:57.241366,-32.0,-82.0,15.4,,363301,61352,,1
2025-12-03T23:31:00.225141,-32.0,-80.0,15.4,,363387,61352,,1
2025-12-03T23:31:03.410745,-33.0,-82.0,15.4,,363559,61352,,1
2025-12-03T23:31:06.345829,-33.0,-80.0,15.4,,363559,61352,,1
2025-12-03T23:31:09.765479,-33.0,-82.0,15.4,,363559,61352,,1
2025-12-03T23:31:12.716611,-33.0,-82.0,15.4,,363559,61352,,1
2025-12-03T23:31:15.687506,-33.0,-80.0,15.4,,363559,61352,,1
2025-12-03T23:31:18.644644,-33.0,-82.0,15.4,,363559,61352,,1
2025-12-03T23:31:22.135903,-33.0,-84.0,15.4,,363559,61352,,1
2025-12-03T23:31:25.203823,-33.0,-82.0,15.4,,363559,61352,,1
2025-12-03T23:31:28.129572,-33.0,-80.0,15.4,,363559,61352,,1
2025-12-03T23:31:31.070440,-32.0,-80.0,15.4,,363731,61352,,1
2025-12-03T23:31:34.402300,-32.0,-84.0,15.4,,363817,61352,,1
2025-12-03T23:31:37.398527,-32.0,-82.0,15.4,,363817,61352,,1
2025-12-03T23:31:40.367534,-32.0,-82.0,15.4,,363817,61352,,1
2025-12-03T23:31:43.366947,-32.0,-80.0,15.4,,363817,61352,,1
2025-12-03T23:31:46.380250,-32.0,-80.0,15.4,,363817,61352,,1
2025-12-03T23:31:49.471850,-32.0,-80.0,15.4,,363817,61352,,1
2025-12-03T23:31:52.383669,-32.0,-82.0,15.4,,363817,61352,,1
2025-12-03T23:31:55.344880,-32.0,-82.0,15.4,,363817,61352,,1
2025-12-03T23:31:58.230389,-32.0,-80.0,15.4,,363817,61352,,1
2025-12-03T23:32:01.882358,-32.0,-80.0,15.4,,363817,61352,,1
2025-12-03T23:32:04.856943,-32.0,-82.0,15.4,,363989,61352,,1
2025-12-03T23:32:07.720039,-32.0,-82.0,11.1,,364075,61352,,1
2025-12-03T23:32:10.724912,-32.0,-80.0,11.1,,364075,61352,,1
2025-12-03T23:32:14.214475,-32.0,-82.0,11.1,,364075,61352,,1
2025-12-03T23:32:17.135437,-32.0,-80.0,11.1,,364075,61352,,1
2025-12-03T23:32:20.065253,-32.0,-82.0,11.1,,364075,61352,,1
2025-12-03T23:32:22.977543,-32.0,-78.0,11.1,,364075,61352,,1
2025-12-03T23:32:26.421148,-32.0,-80.0,11.1,,364075,61352,,1
2025-12-03T23:32:29.297067,-32.0,-82.0,11.1,,364075,61352,,1
2025-12-03T23:32:32.338531,-32.0,-82.0,11.1,,364075,61352,,1
2025-12-03T23:32:35.255753,-32.0,-82.0,12.5,,364333,61352,,1
2025-12-03T23:32:38.274995,-32.0,-82.0,15.4,,364591,61352,,1
2025-12-03T23:32:41.504506,-32.0,-84.0,15.4,,364591,61352,,1
2025-12-03T23:32:44.456507,-32.0,-80.0,15.4,,364591,61352,,1
