timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T15:35:34.955727,-24.0,-82.0,15.4,,4363156,464466,,2,,,
2025-12-06T15:35:38.379859,-24.0,-82.0,15.4,,4363156,464466,,2,,,
2025-12-06T15:35:41.360149,-24.0,-84.0,15.4,,4363156,464466,,2,,,
2025-12-06T15:35:44.390976,-24.0,-82.0,15.4,,4363156,464466,,2,,,
2025-12-06T15:35:47.769880,-26.0,-80.0,13.9,,4363242,464466,,2,,,
2025-12-06T15:35:51.817654,-24.0,-84.0,13.9,,4363414,464466,,2,,,
2025-12-06T15:35:54.908601,-24.0,-82.0,13.9,,4363414,464466,,2,,,
2025-12-06T15:35:58.024085,-24.0,-82.0,13.9,,4363414,464466,,2,,,
2025-12-06T15:36:01.357610,-24.0,-82.0,13.9,,4363414,464466,,2,,,
2025-12-06T15:36:05.118926,-24.0,-82.0,13.9,,4363414,464466,,2,,,
2025-12-06T15:36:08.407779,-22.0,-82.0,15.4,,4363500,464466,,2,,,
2025-12-06T15:36:11.686055,-22.0,-82.0,15.4,,4363672,464466,,2,,,
2025-12-06T15:36:14.973341,-22.0,-82.0,15.4,,4363672,464466,,2,,,
2025-12-06T15:36:18.925204,-22.0,-78.0,15.4,,4363672,464466,,2,,,
2025-12-06T15:36:22.114797,-22.0,-82.0,15.4,,4363672,464466,,2,,,
2025-12-06T15:36:25.371139,-22.0,-80.0,15.4,,4363672,464466,,2,,,
2025-12-06T15:36:28.754710,-22.0,-82.0,15.4,,4363758,464466,,2,,,
2025-12-06T15:36:32.878515,-22.0,-82.0,15.4,,4363930,464466,,2,,,
2025-12-06T15:36:36.075840,-22.0,-82.0,15.4,,4363930,464466,,2,,,
2025-12-06T15:36:39.255869,-22.0,-80.0,15.4,,4364188,464466,,2,,,
2025-12-06T15:36:42.416927,-22.0,-80.0,15.4,,4364188,464466,,2,,,
2025-12-06T15:36:46.415325,-22.0,-82.0,15.4,,4364188,464466,,2,,,
2025-12-06T15:36:49.563860,-22.0,-82.0,15.4,,4364188,464466,,2,,,
2025-12-06T15:36:52.813728,-23.0,-82.0,15.4,,4364360,464466,,2,,,
2025-12-06T15:36:56.169987,-22.0,-84.0,15.4,,4364446,464466,,2,,,
2025-12-06T15:37:00.154080,-25.0,-80.0,15.4,,4364618,464466,,2,,,
2025-12-06T15:37:03.287981,-25.0,-82.0,15.4,,4364704,464466,,2,,,
2025-12-06T15:37:06.607295,-25.0,-82.0,15.4,,4364704,464466,,2,,,
2025-12-06T15:37:09.854935,-25.0,-80.0,15.4,,4364704,464466,,2,,,
2025-12-06T15:37:13.826396,-25.0,-80.0,15.4,,4364704,464466,,2,,,
2025-12-06T15:37:17.052763,-24.0,-78.0,15.4,,4364876,464466,,2,,,
2025-12-06T15:37:20.257188,-23.0,-80.0,15.4,,4364962,464466,,2,,,
2025-12-06T15:37:23.376684,-23.0,-80.0,15.4,,4364962,464466,,2,,,
2025-12-06T15:37:27.363180,-23.0,-82.0,15.4,,4364962,464466,,2,,,
2025-12-06T15:37:30.337332,-23.0,-80.0,15.4,,4364962,464466,,2,,,
2025-12-06T15:37:33.562126,-23.0,-82.0,15.4,,4364962,464466,,2,,,
2025-12-06T15:37:36.795177,-23.0,-80.0,15.4,,4365048,464466,,2,,,
2025-12-06T15:37:40.756664,-22.0,-82.0,15.4,,4365220,464466,,2,,,
2025-12-06T15:37:43.845084,-22.0,-82.0,15.4,,4365220,464466,,2,,,
2025-12-06T15:37:47.057078,-22.0,-82.0,15.4,,4365220,464466,,2,,,
2025-12-06T15:37:50.206165,-22.0,-80.0,15.4,,4365220,464466,,2,,,
2025-12-06T15:37:53.930699,-22.0,-80.0,15.4,,4365220,464466,,2,,,
