timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops
2025-12-03T21:33:30.248391,-24.0,-80.0,13.9,,278898,49354,,1
2025-12-03T21:33:33.686958,-24.0,-82.0,13.9,,278898,49354,,1
2025-12-03T21:33:36.556609,-24.0,-82.0,13.9,,278898,49354,,1
2025-12-03T21:33:39.439695,-24.0,-84.0,13.9,,278898,49354,,1
2025-12-03T21:33:42.290059,-24.0,-80.0,13.9,,278898,49354,,1
2025-12-03T21:33:45.431407,-24.0,-82.0,13.9,,278898,49354,,1
2025-12-03T21:33:48.305048,-24.0,-68.0,13.9,,278898,49354,,1
2025-12-03T21:33:51.156906,-24.0,-80.0,13.9,,278898,49354,,1
2025-12-03T21:33:54.038579,-24.0,-84.0,13.9,,278898,49354,,1
2025-12-03T21:33:56.932826,-24.0,-80.0,13.9,,279156,49354,,1
2025-12-03T21:34:00.367262,-24.0,-82.0,12.3,,279156,49368,,1
2025-12-03T21:34:03.261449,-24.0,-82.0,12.3,,279156,49368,,1
2025-12-03T21:34:06.187993,-24.0,-80.0,12.3,,279156,49368,,1
2025-12-03T21:34:09.050919,-24.0,-82.0,12.3,,279156,49368,,1
2025-12-03T21:34:12.452154,-24.0,-82.0,12.3,,279156,49368,,1
2025-12-03T21:34:15.311474,-24.0,-82.0,12.3,,279156,49368,,1
2025-12-03T21:34:18.193230,-24.0,-82.0,12.3,,279156,49368,,1
2025-12-03T21:34:21.045748,-24.0,-82.0,12.3,,279156,49368,,1
2025-12-03T21:34:24.582153,-42.0,-80.0,13.9,,279242,49368,,1
2025-12-03T21:34:27.478393,-23.0,-82.0,15.4,,279414,49368,,1
2025-12-03T21:34:30.358428,-23.0,-80.0,15.4,,279414,49368,,1
2025-12-03T21:34:33.244584,-23.0,-82.0,15.4,,279414,49368,,1
2025-12-03T21:34:36.120703,-23.0,-82.0,15.4,,279414,49368,,1
2025-12-03T21:34:39.408222,-23.0,-82.0,15.4,,279414,49368,,1
2025-12-03T21:34:42.328596,-23.0,-82.0,15.4,,279414,49368,,1
2025-12-03T21:34:45.216830,-23.0,-80.0,15.4,,279414,49368,,1
2025-12-03T21:34:48.155253,-23.0,-82.0,15.4,,279414,49368,,1
2025-12-03T21:34:51.573950,-23.0,-82.0,15.4,,279414,49368,,1
2025-12-03T21:34:54.422244,-23.0,-80.0,15.4,,279586,49368,,1
2025-12-03T21:34:57.272275,-24.0,-82.0,15.4,,279672,49368,,1
2025-12-03T21:35:00.129775,-24.0,-80.0,15.4,,279672,49368,,1
2025-12-03T21:35:03.621156,-24.0,-84.0,15.4,,279758,49368,,1
2025-12-03T21:35:06.510347,-23.0,-84.0,15.4,,279930,49368,,1
2025-12-03T21:35:09.357899,-23.0,-80.0,15.4,,279930,49368,,1
2025-12-03T21:35:12.232249,-23.0,-78.0,15.4,,279930,49368,,1
2025-12-03T21:35:15.099247,-23.0,-80.0,15.4,,279930,49368,,1
2025-12-03T21:35:18.290299,-23.0,-80.0,15.4,,279930,49368,,1
2025-12-03T21:35:21.145353,-23.0,-80.0,15.4,,279930,49368,,1
2025-12-03T21:35:24.017286,-23.0,-84.0,15.4,,279930,49368,,1
2025-12-03T21:35:26.887943,-23.0,-82.0,15.4,,279930,49368,,1
2025-12-03T21:35:30.332420,-23.0,-82.0,15.4,,279930,49368,,1
2025-12-03T21:35:33.203038,-22.0,-84.0,15.4,,280016,49368,,1
2025-12-03T21:35:36.066889,-21.0,-80.0,15.4,,280188,49368,,1
2025-12-03T21:35:38.893119,-21.0,-80.0,15.4,,280188,49368,,1
2025-12-03T21:35:42.384868,-21.0,-84.0,15.4,,280188,49368,,1
2025-12-03T21:35:45.257291,-21.0,-82.0,15.4,,280188,49368,,1
2025-12-03T21:35:48.128136,-21.0,-82.0,15.4,,280188,49368,,1
2025-12-03T21:35:51.025653,-21.0,-80.0,15.4,,280188,49368,,1
2025-12-03T21:35:53.940131,-21.0,-80.0,15.4,,280188,49368,,1
2025-12-03T21:35:57.037232,-21.0,-82.0,15.4,,280188,49368,,1
2025-12-03T21:35:59.907000,-21.0,-82.0,15.4,,280188,49368,,1
2025-12-03T21:36:02.779384,-21.0,-82.0,15.4,,280188,49368,,1
2025-12-03T21:36:05.641998,-21.0,-80.0,15.4,,280188,49368,,1
2025-12-03T21:36:09.075110,-24.0,-84.0,15.4,,280446,49368,,1
2025-12-03T21:36:11.937741,-24.0,-84.0,15.4,,280446,49368,,1
2025-12-03T21:36:14.802372,-24.0,-84.0,15.4,,280446,49368,,1
