timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops
2025-12-05T14:37:48.502710,-33.0,-82.0,15.4,,2748042,307398,,2
2025-12-05T14:37:51.479869,-33.0,-82.0,15.4,,2748128,307398,,2
2025-12-05T14:37:54.441785,-30.0,-82.0,15.4,,2748300,307398,,2
2025-12-05T14:37:57.422590,-30.0,-82.0,15.4,,2748300,307398,,2
2025-12-05T14:38:01.047825,-31.0,-82.0,12.3,,2748558,307398,,2
2025-12-05T14:38:04.141198,-31.0,-80.0,12.3,,2748558,307398,,2
2025-12-05T14:38:07.205390,-31.0,-80.0,12.3,,2748558,307398,,2
2025-12-05T14:38:10.321939,-31.0,-80.0,12.3,,2748558,307398,,2
2025-12-05T14:38:13.784863,-31.0,-82.0,12.3,,2748558,307398,,2
2025-12-05T14:38:17.016662,-31.0,-82.0,12.3,,2748558,307398,,2
2025-12-05T14:38:20.005727,-30.0,-80.0,13.9,,2748816,307398,,2
2025-12-05T14:38:23.024363,-33.0,-78.0,15.4,,2749074,307398,,2
2025-12-05T14:38:26.581295,-33.0,-80.0,15.4,,2749074,307398,,2
2025-12-05T14:38:29.600690,-33.0,-80.0,15.4,,2749074,307398,,2
2025-12-05T14:38:32.702246,-33.0,-80.0,15.4,,2749074,307398,,2
2025-12-05T14:38:35.938884,-33.0,-82.0,15.4,,2749074,307398,,2
2025-12-05T14:38:39.719450,-30.0,-84.0,15.4,,2749332,307398,,2
2025-12-05T14:38:42.774201,-30.0,-82.0,15.4,,2749332,307398,,2
2025-12-05T14:38:45.959476,-30.0,-82.0,15.4,,2749332,307398,,2
2025-12-05T14:38:48.899076,-30.0,-80.0,15.4,,2749332,307398,,2
2025-12-05T14:38:52.539913,-30.0,-80.0,15.4,,2749332,307398,,2
2025-12-05T14:38:55.589133,-30.0,-80.0,15.4,,2749332,307398,,2
2025-12-05T14:38:58.514875,-30.0,-80.0,15.4,,2749332,307398,,2
2025-12-05T14:39:01.524290,-33.0,-82.0,15.4,,2749590,307398,,2
2025-12-05T14:39:04.997919,-33.0,-80.0,15.4,,2749590,307398,,2
2025-12-05T14:39:08.039538,-33.0,-82.0,15.4,,2749590,307398,,2
2025-12-05T14:39:11.101207,-33.0,-82.0,15.4,,2749590,307398,,2
2025-12-05T14:39:14.103082,-33.0,-82.0,15.4,,2749590,307398,,2
2025-12-05T14:39:17.594400,-33.0,-80.0,15.4,,2749590,307398,,2
2025-12-05T14:39:20.579538,-33.0,-84.0,15.4,,2749590,307398,,2
2025-12-05T14:39:23.527663,-31.0,-82.0,15.4,,2749762,307398,,2
2025-12-05T14:39:26.500972,-32.0,-78.0,13.9,,2749848,307398,,2
2025-12-05T14:39:29.529301,-32.0,-80.0,13.9,,2749848,307398,,2
2025-12-05T14:39:32.645214,-32.0,-82.0,13.9,,2749848,307398,,2
2025-12-05T14:39:35.581712,-32.0,-82.0,13.9,,2749848,307398,,2
2025-12-05T14:39:38.629260,-32.0,-82.0,13.9,,2749848,307398,,2
2025-12-05T14:39:41.623947,-32.0,-78.0,15.4,,2750020,307398,,2
2025-12-05T14:39:45.109933,-32.0,-82.0,15.4,,2750106,307398,,2
2025-12-05T14:39:48.049104,-32.0,-80.0,15.4,,2750106,307398,,2
2025-12-05T14:39:51.119136,-32.0,-80.0,15.4,,2750106,307398,,2
2025-12-05T14:39:54.178970,-32.0,-82.0,15.4,,2750106,307398,,2
2025-12-05T14:39:57.722225,-32.0,-80.0,15.4,,2750106,307398,,2
2025-12-05T14:40:00.600604,-30.0,-84.0,15.4,,2750106,307412,,2
2025-12-05T14:40:03.621457,-32.0,-82.0,12.3,,2750278,307412,,2
2025-12-05T14:40:06.868749,-32.0,-80.0,12.3,,2750364,307412,,2
2025-12-05T14:40:10.526515,-33.0,-80.0,12.3,,2750450,307412,,2
2025-12-05T14:40:13.434880,-31.0,-84.0,12.3,,2750622,307412,,2
2025-12-05T14:40:16.501569,-31.0,-82.0,12.3,,2750622,307412,,2
2025-12-05T14:40:19.465097,-31.0,-80.0,12.3,,2750622,307412,,2
2025-12-05T14:40:23.226234,-31.0,-82.0,12.3,,2750622,307412,,2
2025-12-05T14:40:26.340650,-30.0,-78.0,12.3,,2750708,307412,,2
2025-12-05T14:40:29.245752,-30.0,-82.0,12.3,,2750880,307412,,2
2025-12-05T14:40:32.280550,-33.0,-80.0,13.9,,2751052,307412,,2
2025-12-05T14:40:35.963076,-32.0,-82.0,13.9,,2751138,307412,,2
2025-12-05T14:40:38.859246,-32.0,-82.0,13.9,,2751138,307412,,2
2025-12-05T14:40:41.788629,-32.0,-82.0,13.9,,2751138,307412,,2
2025-12-05T14:40:44.869446,-32.0,-82.0,13.9,,2751138,307412,,2
2025-12-05T14:40:48.716591,-32.0,-80.0,13.9,,2751224,307412,,2
2025-12-05T14:40:51.723272,-32.0,-82.0,15.4,,2751396,307412,,2
2025-12-05T14:40:54.644495,-32.0,-82.0,15.4,,2751396,307412,,2
2025-12-05T14:40:57.659521,-32.0,-82.0,15.4,,2751396,307412,,2
2025-12-05T14:41:01.203206,-32.0,-80.0,15.4,,2751396,307412,,2
2025-12-05T14:41:04.259805,-32.0,-80.0,15.4,,2751396,307412,,2
2025-12-05T14:41:07.367036,-32.0,-82.0,15.4,,2751396,307412,,2
2025-12-05T14:41:10.319587,-31.0,-80.0,15.4,,2751482,307412,,2
2025-12-05T14:41:13.739734,-31.0,-82.0,15.4,,2751654,307412,,2
2025-12-05T14:41:16.780675,-31.0,-82.0,15.4,,2751654,307412,,2
