timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops
2025-12-04T00:05:02.477647,-33.0,-82.0,15.4,,389071,65216,,1
2025-12-04T00:05:05.475801,-33.0,-82.0,15.4,,389071,65216,,1
2025-12-04T00:05:08.505929,-33.0,-80.0,15.4,,389071,65216,,1
2025-12-04T00:05:12.059101,-33.0,-82.0,15.4,,389071,65216,,1
2025-12-04T00:05:15.001000,-33.0,-82.0,15.4,,389071,65216,,1
2025-12-04T00:05:17.892513,-33.0,-82.0,15.4,,389071,65216,,1
2025-12-04T00:05:20.944801,-33.0,-80.0,15.4,,389071,65216,,1
2025-12-04T00:05:24.431534,-32.0,-80.0,15.4,,389329,65216,,1
2025-12-04T00:05:27.335576,-32.0,-82.0,15.4,,389329,65216,,1
2025-12-04T00:05:30.373092,-32.0,-84.0,15.4,,389329,65216,,1
2025-12-04T00:05:33.345346,-34.0,-82.0,15.4,,389329,65306,,1
2025-12-04T00:05:36.939678,-34.0,-82.0,15.4,,389415,65348,,1
2025-12-04T00:05:40.013960,-34.0,-82.0,15.4,,389415,65348,,1
2025-12-04T00:05:42.984421,-34.0,-82.0,15.4,,389415,65348,,1
2025-12-04T00:05:45.937241,-32.0,-84.0,15.4,,389415,65438,,1
2025-12-04T00:05:49.493219,-33.0,-82.0,15.4,,389539,65520,,1
2025-12-04T00:05:52.487912,-32.0,-82.0,15.4,,389797,65520,,1
2025-12-04T00:05:55.450352,-32.0,-82.0,15.4,,389969,65562,,1
2025-12-04T00:05:58.344945,-32.0,-82.0,15.4,,389969,65562,,1
2025-12-04T00:06:02.036979,-32.0,-80.0,15.4,,390265,65644,,1
2025-12-04T00:06:04.979809,-33.0,-84.0,15.4,,390437,65686,,1
2025-12-04T00:06:07.945764,-32.0,-80.0,15.4,,390437,65686,,1
2025-12-04T00:06:10.910532,-32.0,-80.0,15.4,,390437,65686,,1
2025-12-04T00:06:14.119335,-32.0,-82.0,15.4,,390437,65686,,1
2025-12-04T00:06:16.998014,-32.0,-82.0,15.4,,390437,65686,,1
2025-12-04T00:06:19.923071,-32.0,-82.0,15.4,,390437,65686,,1
2025-12-04T00:06:22.877479,-32.0,-82.0,15.4,,390437,65686,,1
2025-12-04T00:06:25.866079,-32.0,-80.0,15.4,,390437,65686,,1
2025-12-04T00:06:29.314641,-32.0,-84.0,15.4,,390437,65686,,1
2025-12-04T00:06:32.207793,-32.0,-80.0,15.4,,390695,65686,,1
2025-12-04T00:06:35.187749,-33.0,-82.0,15.4,,390695,65686,,1
2025-12-04T00:06:38.155182,-33.0,-80.0,15.4,,390695,65686,,1
2025-12-04T00:06:41.748878,-33.0,-82.0,15.4,,390695,65686,,1
2025-12-04T00:06:44.616787,-33.0,-80.0,15.4,,390695,65686,,1
2025-12-04T00:06:47.575078,-33.0,-80.0,15.4,,390695,65686,,1
2025-12-04T00:06:50.683936,-33.0,-80.0,15.4,,390695,65686,,1
2025-12-04T00:06:54.221043,-33.0,-86.0,15.4,,390695,65686,,1
2025-12-04T00:06:57.219651,-33.0,-84.0,15.4,,390695,65686,,1
2025-12-04T00:07:00.166169,-33.0,-84.0,15.4,,390695,65686,,1
2025-12-04T00:07:03.900096,-32.0,-82.0,15.4,,390867,65686,,1
2025-12-04T00:07:08.461518,-32.0,-84.0,15.4,,390953,65686,,1
2025-12-04T00:07:11.437364,-32.0,-84.0,15.4,,390953,65686,,1
2025-12-04T00:07:14.282884,-32.0,-80.0,15.4,,390953,65686,,1
2025-12-04T00:07:17.155691,-32.0,-78.0,15.4,,390953,65686,,1
2025-12-04T00:07:20.618528,-32.0,-82.0,15.4,,390953,65686,,1
2025-12-04T00:07:23.497586,-32.0,-82.0,15.4,,390953,65686,,1
2025-12-04T00:07:26.428456,-32.0,-80.0,15.4,,390953,65686,,1
2025-12-04T00:07:29.353458,-32.0,-80.0,15.4,,390953,65686,,1
2025-12-04T00:07:32.832671,-32.0,-80.0,15.4,,391039,65686,,1
2025-12-04T00:07:35.818241,-33.0,-82.0,15.4,,391211,65686,,1
2025-12-04T00:07:38.787068,-33.0,-82.0,15.4,,391211,65686,,1
2025-12-04T00:07:41.649317,-33.0,-84.0,15.4,,391211,65686,,1
2025-12-04T00:07:44.556996,-33.0,-82.0,15.4,,391211,65686,,1
2025-12-04T00:07:47.702233,-33.0,-82.0,15.4,,391211,65686,,1
2025-12-04T00:07:50.671981,-33.0,-82.0,15.4,,391211,65686,,1
2025-12-04T00:07:53.627692,-33.0,-82.0,15.4,,391211,65686,,1
2025-12-04T00:07:56.597658,-33.0,-80.0,15.4,,391211,65686,,1
