timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-10-23T23:04:06.544393+00:00,30.02,30.021563,400,400,400,11501,0,0,24.6036,7.9321,119.3533,242.328,383.0913,0.482435,0.9577282835007623,28.7525
2025-10-23T23:04:36.582205+00:00,60.06,60.059375,400,400,400,23389,0,0,13.9895,4.0394,54.6029,220.9867,389.4313,0.490824,0.9735782298766844,58.4725
2025-10-23T23:05:06.599638+00:00,90.08,90.076808,400,400,400,35368,0,0,10.5753,3.2788,41.7666,174.2072,392.6427,0.495036,0.9816067194565775,88.42
2025-10-23T23:05:36.548185+00:00,120.03,120.025355,400,400,400,47317,0,0,8.5625,2.7159,31.9922,151.0128,394.225,0.497641,0.9855625921706292,118.2925
