timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-12-04T05:35:47.206933+00:00,42.33,42.32643,200,200,200,1200,0,0,22.4147,13.0747,75.806,156.3318,28.3511,0.271207,0.14175539964036654,6.0
2025-12-04T05:36:17.209449+00:00,72.33,72.328946,200,200,200,2400,0,0,16.5081,8.3864,60.2202,154.4121,33.1817,0.317476,0.16590868059932742,12.0
2025-12-04T05:36:47.212499+00:00,102.33,102.331996,200,200,200,3600,0,0,13.2383,7.192,47.7705,143.9454,35.1796,0.336655,0.17589806417926215,18.0
2025-12-04T05:37:17.215873+00:00,132.34,132.33537,200,200,200,4800,0,0,11.7622,6.9399,34.8371,100.0667,36.2715,0.34714,0.18135741034313047,24.0
2025-12-04T05:37:47.219994+00:00,162.34,162.339491,200,200,200,6000,0,0,10.4983,6.3874,30.5807,75.7902,36.9596,0.353755,0.18479791833276107,30.0
2025-12-04T05:38:17.207273+00:00,192.33,192.32677,200,200,200,7200,0,0,9.7107,6.0661,27.2013,70.751,37.4363,0.358334,0.18718143085333364,36.0
