timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-12-04T05:29:42.888182+00:00,42.33,42.326657,200,200,200,1200,0,0,18.4536,9.7179,64.9351,126.6327,28.3509,0.097029,0.14175463939899624,6.0
2025-12-04T05:30:12.890327+00:00,72.33,72.328802,200,200,200,2400,0,0,13.2107,7.5587,36.8782,115.8592,33.1818,0.113611,0.16590901090826862,12.0
2025-12-04T05:30:42.892980+00:00,102.33,102.331455,200,200,200,3600,0,0,11.3037,6.5705,33.8089,70.0723,35.1798,0.120519,0.17589899410694393,18.0
2025-12-04T05:31:12.896039+00:00,132.33,132.334514,200,200,200,4800,0,0,9.4754,5.5995,30.7209,66.8852,36.2717,0.124289,0.18135858344558545,24.0
2025-12-04T05:31:42.900090+00:00,162.34,162.338565,200,200,200,6000,0,0,8.5733,5.2237,27.0434,64.9233,36.9598,0.126666,0.18479897244379362,30.0
2025-12-04T05:32:12.889696+00:00,192.33,192.328171,200,200,200,7200,0,0,7.8786,4.9455,25.3736,62.0059,37.436,0.128309,0.18718006734437256,36.0
