timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-12-04T01:58:27.248129+00:00,42.39,42.385891,200,200,200,1200,0,0,14.2698,7.1068,65.2022,101.9646,28.3113,0.035501,0.14155653823580117,6.0
2025-12-04T01:58:57.250120+00:00,72.39,72.387882,200,200,200,2400,0,0,10.5514,6.1614,39.376,81.9352,33.1547,0.04165,0.16577360282484851,12.0
2025-12-04T01:59:27.252682+00:00,102.39,102.390444,200,200,200,3600,0,0,9.2221,5.5473,30.5462,79.4037,35.1595,0.044236,0.17579765549214732,18.0
2025-12-04T01:59:57.256048+00:00,132.39,132.39381,200,200,200,4800,0,0,8.0761,5.0598,22.5027,74.9746,36.2555,0.045638,0.18127735730242978,24.0
2025-12-04T02:00:27.260043+00:00,162.4,162.397805,200,200,200,6000,0,0,7.4121,4.6724,20.8836,65.1482,36.9463,0.046531,0.18473156087300563,30.0
2025-12-04T02:00:57.250072+00:00,192.39,192.387834,200,200,200,7200,0,0,6.8071,4.324,18.6258,56.3137,37.4244,0.047151,0.18712201936843886,36.0
