timestamp,uptime_seconds,elapsed_seconds,total_devices,active_clients,connected_devices,successful_publishes,failed_publishes,failed_devices,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,messages_per_second,bandwidth_mbps,avg_send_rate_per_device,avg_messages_per_device
2025-12-04T04:10:45.666938+00:00,42.39,42.390225,200,200,200,1200,0,0,27.2323,15.644,93.7429,135.3112,28.3084,0.096856,0.14154206541720407,6.0
2025-12-04T04:11:15.668874+00:00,72.39,72.392161,200,200,200,2400,0,0,15.9408,6.2185,71.2512,130.8667,33.1528,0.113475,0.1657638041776374,12.0
2025-12-04T04:11:45.671153+00:00,102.39,102.39444,200,200,200,3600,0,0,12.1157,5.1519,47.5661,99.2925,35.1582,0.120419,0.1757907948908163,18.0
2025-12-04T04:12:15.674818+00:00,132.4,132.398105,200,200,200,4800,0,0,10.7624,4.8179,40.6021,95.9986,36.2543,0.124213,0.18127147665746426,24.0
2025-12-04T04:12:45.678806+00:00,162.4,162.402093,200,200,200,6000,0,0,9.5127,4.6078,35.3137,93.7361,36.9453,0.126601,0.1847266832946543,30.0
2025-12-04T04:13:15.668626+00:00,192.39,192.391913,200,200,200,7200,0,0,8.769,4.5246,32.8324,92.1028,37.4236,0.128254,0.18711805209816695,36.0
